,ewa,ewc
771,13.36,19.8
772,13.37,20.44
773,13.08,19.93
774,13.23,20.3
775,13.66,20.98
776,13.1,20.72
777,13.24,21.36
778,13.89,21.89
779,14.58,22.29
780,14.87,22.43
781,14.4,21.34
782,14.32,21.88
783,14.27,21.57
784,14.03,21.56
785,14.44,21.87
786,14.77,21.8
787,15.27,22.16
788,15.07,21.82
789,14.28,20.91
790,14.14,20.7
791,13.9,20.23
792,14.14,20.26
793,14.23,20.56
794,13.53,19.35
795,13.5,19.45
796,13.78,19.92
797,14.14,20.48
798,14.28,20.46
799,14.44,20.73
800,14.27,20.3
801,14.34,20.61
802,13.69,20.14
803,13.59,19.73
804,13.12,19.18
805,13.02,18.75
806,13.22,19.12
807,13.19,18.91
808,13.32,19.41
809,13.88,20.0
810,14.69,20.92
811,14.82,21.11
812,14.75,21.29
813,15.28,21.82
814,15.19,21.72
815,15.16,21.82
816,15.5,22.57
817,15.45,22.7
818,15.69,22.87
819,15.76,22.46
820,15.5,22.03
821,16.08,22.64
822,16.4,23.08
823,16.91,23.72
824,16.9,23.59
825,16.73,23.63
826,16.85,23.05
827,16.94,23.0
828,16.72,22.73
829,16.55,22.07
830,17.0,22.4
831,17.59,22.74
832,17.08,22.5
833,16.59,21.65
834,16.94,21.98
835,17.03,22.21
836,16.97,22.39
837,16.96,22.81
838,17.38,22.83
839,17.4,22.95
840,17.21,22.8
841,17.63,23.07
842,17.84,23.03
843,17.74,22.66
844,17.32,22.05
845,17.27,22.07
846,17.66,22.72
847,18.0,23.13
848,18.59,23.5
849,18.66,23.33
850,18.94,23.68
851,18.9,23.89
852,18.79,24.04
853,18.79,24.65
854,19.79,24.93
855,19.5,24.83
856,19.52,24.78
857,19.29,24.32
858,19.68,24.92
859,19.64,24.58
860,19.26,23.81
861,19.47,23.56
862,19.83,23.93
863,19.93,24.04
864,20.07,24.36
865,19.25,23.3
866,18.91,23.16
867,19.34,23.71
868,19.83,24.24
869,20.1,24.41
870,20.95,24.93
871,20.84,24.99
872,20.91,25.21
873,20.9,25.16
874,21.62,25.68
875,21.79,25.44
876,21.51,25.38
877,21.84,25.67
878,21.58,25.13
879,21.56,24.95
880,21.88,25.15
881,21.62,24.72
882,21.28,23.99
883,20.99,23.59
884,19.93,22.75
885,20.39,23.53
886,19.4,22.73
887,19.75,22.83
888,19.6,23.34
889,19.78,23.52
890,20.0,23.8
891,20.4,23.78
892,21.43,24.8
893,21.5,24.78
894,21.6,24.89
895,21.12,24.46
896,21.58,24.75
897,21.97,24.99
898,21.6,25.26
899,21.49,25.2
900,20.99,24.8
901,20.77,24.65
902,21.26,25.13
903,20.88,24.9
904,21.46,25.36
905,20.29,24.57
906,20.8,24.79
907,21.37,25.61
908,21.35,25.62
909,21.09,25.13
910,20.99,24.79
911,20.6,24.86
912,20.14,24.28
913,20.28,24.55
914,20.54,24.76
915,20.43,24.49
916,20.64,24.89
917,20.3,24.77
918,20.21,25.02
919,19.86,24.47
920,20.0,24.58
921,19.74,24.73
922,19.86,25.06
923,20.16,25.39
924,20.61,25.5
925,20.66,25.62
926,20.89,25.57
927,20.88,25.31
928,20.92,25.45
929,21.8,26.04
930,21.87,26.19
931,21.96,26.4
932,21.85,26.31
933,22.13,26.45
934,22.37,26.37
935,21.57,25.89
936,21.93,26.16
937,22.23,26.24
938,21.72,25.84
939,22.07,25.87
940,21.36,25.26
941,20.58,24.72
942,20.12,24.2
943,20.46,24.27
944,20.06,24.19
945,19.96,24.07
946,19.76,23.81
947,19.18,23.56
948,19.69,24.02
949,19.84,24.32
950,19.57,24.21
951,18.55,23.45
952,18.67,23.63
953,18.54,23.37
954,19.14,23.85
955,19.01,24.04
956,19.74,24.61
957,19.36,24.62
958,20.22,25.2
959,20.46,25.23
960,20.63,25.54
961,20.46,25.56
962,20.76,25.4
963,20.3,24.74
964,20.42,24.84
965,19.9,24.95
966,20.22,25.03
967,20.85,25.56
968,20.97,25.95
969,21.23,26.15
970,21.1,26.07
971,21.69,26.48
972,21.56,26.54
973,21.8,26.48
974,21.88,26.53
975,21.81,26.63
976,21.8,26.81
977,21.55,26.77
978,21.97,27.17
979,22.24,27.31
980,22.06,27.04
981,21.83,26.85
982,21.99,26.79
983,22.33,27.04
984,21.84,26.59
985,21.9,26.64
986,21.91,26.6
987,22.3,26.94
988,22.34,27.03
989,22.09,27.03
990,22.55,27.54
991,22.7,27.75
992,22.86,27.73
993,22.68,27.49
994,22.67,27.58
995,22.87,27.74
996,22.79,27.69
997,22.74,27.6
998,23.2,27.9
999,23.15,27.86
1000,22.56,27.19
1001,22.4,27.23
1002,22.75,27.76
1003,22.63,27.69
1004,22.46,27.77
1005,22.37,27.89
1006,22.32,27.97
1007,21.43,27.16
1008,21.83,27.23
1009,22.04,27.74
1010,21.52,27.35
1011,21.81,27.58
1012,20.57,26.75
1013,20.38,26.26
1014,18.89,25.51
1015,18.92,25.48
1016,20.51,26.63
1017,20.0,26.79
1018,20.16,27.28
1019,20.03,26.98
1020,19.29,26.48
1021,19.08,26.16
1022,18.52,25.93
1023,17.81,25.61
1024,16.55,24.32
1025,17.37,24.8
1026,17.33,24.5
1027,17.18,24.55
1028,17.02,24.59
1029,18.32,25.51
1030,18.19,25.29
1031,17.56,24.98
1032,18.14,25.84
1033,18.2,25.79
1034,17.16,24.82
1035,16.73,24.6
1036,17.51,25.03
1037,17.56,24.91
1038,18.6,25.71
1039,18.71,25.71
1040,18.86,25.78
1041,19.31,26.5
1042,19.17,26.55
1043,19.12,26.55
1044,19.31,26.74
1045,19.54,26.63
1046,19.14,26.2
1047,19.03,25.77
1048,18.61,25.32
1049,18.73,25.55
1050,18.45,25.37
1051,17.49,24.15
1052,17.27,23.99
1053,17.28,23.73
1054,17.27,23.73
1055,17.57,23.94
1056,18.17,24.56
1057,18.64,24.77
1058,18.79,25.33
1059,18.65,25.26
1060,18.91,25.56
1061,19.02,25.43
1062,19.0,25.59
1063,18.33,24.8
1064,18.39,24.7
1065,19.08,25.18
1066,18.61,24.77
1067,19.25,25.35
1068,19.6,25.51
1069,19.9,25.7
1070,19.82,25.56
1071,19.67,25.46
1072,19.85,25.64
1073,19.84,25.78
1074,20.55,26.26
1075,20.31,26.11
1076,20.54,26.35
1077,20.37,26.21
1078,20.36,26.0
1079,20.57,26.1
1080,20.18,25.95
1081,19.18,25.02
1082,19.13,24.92
1083,19.29,24.89
1084,19.52,24.85
1085,19.9,25.58
1086,19.75,25.8
1087,19.33,25.43
1088,19.39,25.21
1089,19.19,25.06
1090,18.7,24.55
1091,18.65,24.69
1092,18.74,24.76
1093,19.46,25.44
1094,19.31,25.33
1095,19.35,25.22
1096,20.52,25.76
1097,20.54,25.98
1098,20.71,26.35
1099,20.51,26.13
1100,20.72,26.24
1101,21.04,26.31
1102,20.99,26.36
1103,21.52,26.73
1104,21.71,26.81
1105,21.7,26.72
1106,21.49,26.79
1107,21.41,26.66
1108,21.93,26.9
1109,21.83,26.83
1110,21.85,26.61
1111,21.62,26.42
1112,22.24,26.92
1113,22.27,26.78
1114,22.67,26.93
1115,22.42,27.01
1116,22.03,27.15
1117,22.28,27.45
1118,22.07,27.27
1119,22.61,27.84
1120,22.82,28.02
1121,22.76,27.67
1122,23.15,28.03
1123,23.02,28.12
1124,22.8,28.13
1125,22.97,28.52
1126,23.18,28.39
1127,23.13,28.2
1128,23.05,28.13
1129,22.2,27.53
1130,22.76,27.93
1131,22.49,27.76
1132,22.63,27.71
1133,23.17,28.0
1134,22.95,27.93
1135,22.5,27.59
1136,22.75,27.72
1137,22.76,28.04
1138,22.93,28.15
1139,23.47,28.34
1140,23.68,28.4
1141,24.53,29.05
1142,24.56,29.13
1143,24.31,29.27
1144,23.75,28.97
1145,23.86,29.18
1146,23.57,29.08
1147,23.08,28.51
1148,23.1,28.49
1149,22.61,27.77
1150,22.61,27.84
1151,23.11,28.36
1152,22.91,28.67
1153,22.88,28.67
1154,22.0,28.17
1155,22.61,28.74
1156,21.94,28.5
1157,22.21,28.56
1158,21.81,28.45
1159,22.46,29.16
1160,23.03,29.56
1161,23.34,29.62
1162,23.19,29.68
1163,23.23,29.53
1164,23.07,29.33
1165,23.3,29.39
1166,23.49,29.62
1167,23.79,29.77
1168,23.91,29.75
1169,23.43,29.69
1170,23.7,29.58
1171,23.58,29.5
1172,23.58,29.35
1173,23.85,29.66
1174,24.0,29.78
1175,24.11,29.94
1176,24.08,29.9
1177,24.15,30.11
1178,24.34,30.39
1179,24.33,30.37
1180,24.35,30.44
1181,24.5,30.69
1182,23.84,30.36
1183,23.67,30.42
1184,23.42,30.27
1185,23.33,30.29
1186,23.36,30.17
1187,23.32,30.62
1188,23.62,30.88
1189,23.79,30.68
1190,23.8,30.76
1191,24.01,30.93
1192,23.99,30.57
1193,23.57,30.29
1194,23.55,30.36
1195,23.94,30.44
1196,23.82,30.16
1197,24.01,30.68
1198,23.94,30.63
1199,23.48,30.45
1200,23.78,30.73
1201,24.28,31.36
1202,24.2,31.41
1203,24.54,31.65
1204,24.77,31.65
1205,24.86,31.63
1206,25.01,31.67
1207,24.88,31.45
1208,24.77,31.56
1209,24.7,31.66
1210,24.94,31.92
1211,24.68,31.91
1212,24.93,32.39
1213,25.22,32.55
1214,25.18,32.55
1215,24.23,32.04
1216,24.33,32.09
1217,24.44,32.05
1218,24.94,32.62
1219,25.02,33.11
1220,24.44,32.91
1221,24.75,33.07
1222,25.02,33.33
1223,24.86,33.42
1224,24.45,32.97
1225,24.64,32.84
1226,24.47,32.66
1227,23.59,31.79
1228,23.88,32.03
1229,23.62,31.89
1230,22.91,31.36
1231,22.36,31.07
1232,22.65,31.75
1233,23.31,31.92
1234,23.86,32.62
1235,23.86,32.59
1236,24.06,32.69
1237,24.57,32.75
1238,24.68,32.57
1239,24.66,32.32
1240,25.07,32.51
1241,25.45,32.98
1242,25.53,33.05
1243,25.84,33.37
1244,25.81,33.44
1245,25.78,33.64
1246,26.21,33.65
1247,26.19,33.41
1248,26.47,33.73
1249,26.53,33.2
1250,26.0,32.56
1251,26.21,32.61
1252,26.27,32.63
1253,26.14,32.55
1254,25.78,32.2
1255,25.82,32.55
1256,26.62,33.02
1257,26.95,33.28
1258,26.98,33.06
1259,27.13,33.16
1260,27.19,33.17
1261,27.26,33.15
1262,27.18,33.14
1263,26.84,33.25
1264,26.41,32.59
1265,25.73,32.2
1266,25.32,31.48
1267,25.79,31.72
1268,26.1,32.09
1269,26.24,32.23
1270,25.7,31.58
1271,25.54,31.48
1272,25.12,31.21
1273,25.11,31.2
1274,25.32,31.35
1275,25.56,31.84
1276,25.79,31.91
1277,25.53,31.78
1278,24.68,31.2
1279,24.86,31.53
1280,24.77,31.86
1281,25.21,31.99
1282,25.45,32.02
1283,25.63,32.34
1284,25.01,31.41
1285,24.98,31.38
1286,24.8,31.29
1287,24.69,30.76
1288,24.89,30.8
1289,24.42,30.52
1290,24.76,30.83
1291,24.24,30.28
1292,24.31,30.15
1293,24.97,30.71
1294,24.25,30.07
1295,24.02,29.74
1296,24.32,29.68
1297,24.14,29.77
1298,24.59,30.49
1299,24.39,30.43
1300,24.25,30.08
1301,23.99,29.65
1302,23.95,29.8
1303,24.44,30.32
1304,24.83,30.9
1305,25.4,31.32
1306,25.59,31.55
1307,25.16,31.64
1308,24.99,31.49
1309,25.43,31.68
1310,25.3,31.59
1311,24.57,30.92
1312,24.21,31.05
1313,24.68,31.48
1314,24.35,31.24
1315,24.2,31.61
1316,23.95,31.25
1317,24.54,31.75
1318,24.83,31.89
1319,25.25,32.24
1320,25.43,32.26
1321,25.09,32.22
1322,25.33,31.94
1323,25.03,31.05
1324,24.81,31.01
1325,24.56,30.59
1326,24.59,30.65
1327,23.83,29.89
1328,23.56,30.04
1329,21.85,28.58
1330,21.63,28.08
1331,19.84,26.53
1332,21.84,28.03
1333,20.78,27.58
1334,22.06,28.72
1335,22.19,28.67
1336,23.16,29.34
1337,22.67,28.91
1338,23.08,29.09
1339,21.96,27.88
1340,21.68,27.45
1341,21.71,27.55
1342,22.74,28.27
1343,22.63,28.41
1344,22.25,28.17
1345,22.82,28.35
1346,23.49,28.94
1347,23.47,29.2
1348,23.69,29.54
1349,23.44,29.5
1350,22.83,28.97
1351,22.29,28.62
1352,23.18,29.19
1353,22.67,28.99
1354,21.93,28.09
1355,21.59,27.64
1356,21.64,27.91
1357,21.44,27.97
1358,21.83,28.54
1359,22.01,28.33
1360,21.37,27.75
1361,21.24,27.73
1362,20.44,26.73
1363,19.28,25.29
1364,19.42,25.08
1365,19.95,25.68
1366,20.59,26.17
1367,20.02,25.41
1368,20.1,25.57
1369,19.41,25.14
1370,18.75,24.21
1371,19.19,24.01
1372,19.76,25.07
1373,20.65,25.84
1374,20.78,25.4
1375,21.77,26.43
1376,21.72,26.24
1377,22.12,26.85
1378,22.2,26.48
1379,22.67,27.16
1380,22.03,26.46
1381,22.37,26.9
1382,21.95,26.32
1383,21.89,26.39
1384,22.37,26.88
1385,23.11,27.49
1386,22.47,27.0
1387,22.8,27.51
1388,24.51,28.6
1389,24.22,28.64
1390,23.09,27.89
1391,22.21,26.97
1392,22.49,27.33
1393,22.97,28.04
1394,22.86,27.7
1395,23.02,27.89
1396,23.32,28.06
1397,22.11,26.94
1398,22.48,26.96
1399,23.15,27.53
1400,22.59,27.23
1401,22.64,27.07
1402,22.13,26.93
1403,21.65,26.21
1404,21.61,26.25
1405,20.92,25.64
1406,20.93,25.66
1407,20.17,24.91
1408,20.05,24.61
1409,20.98,25.39
1410,21.24,25.79
1411,22.61,27.11
1412,22.39,27.05
1413,22.66,26.84
1414,23.04,27.06
1415,22.75,27.07
1416,22.88,27.23
1417,22.11,26.4
1418,22.5,26.76
1419,21.79,26.2
1420,21.52,25.68
1421,21.22,25.08
1422,21.24,25.09
1423,21.24,25.41
1424,20.71,25.05
1425,21.46,25.62
1426,21.47,25.86
1427,21.67,26.28
1428,21.79,26.4
1429,21.75,26.31
1430,21.11,25.9
1431,21.45,26.19
1432,21.44,26.6
1433,22.08,27.4
1434,22.34,27.35
1435,22.05,27.18
1436,21.76,26.9
1437,21.83,26.98
1438,22.25,27.33
1439,22.38,27.2
1440,22.48,27.34
1441,22.3,27.13
1442,22.48,27.29
1443,22.88,27.63
1444,22.84,27.79
1445,22.94,27.75
1446,23.02,28.24
1447,22.84,27.86
1448,23.43,28.35
1449,23.5,28.19
1450,23.6,28.26
1451,23.37,28.07
1452,23.42,28.11
1453,23.66,28.36
1454,23.67,28.46
1455,24.02,28.78
1456,23.87,28.61
1457,23.86,28.5
1458,23.9,28.51
1459,23.88,28.44
1460,23.27,28.0
1461,23.65,28.14
1462,23.33,28.03
1463,23.26,28.09
1464,23.37,28.48
1465,23.19,28.38
1466,23.52,28.75
1467,23.48,28.87
1468,23.72,29.0
1469,23.76,28.9
1470,23.8,28.85
1471,23.81,29.1
1472,23.75,29.02
1473,23.9,29.32
1474,23.72,29.05
1475,23.51,28.63
1476,22.74,27.91
1477,22.87,27.99
1478,23.2,28.48
1479,23.15,28.59
1480,22.96,28.34
1481,23.45,28.79
1482,23.18,28.32
1483,23.48,28.53
1484,23.62,28.72
1485,23.73,28.76
1486,23.22,28.53
1487,23.11,28.55
1488,22.88,28.11
1489,23.2,28.37
1490,23.56,28.87
1491,23.35,28.63
1492,23.38,28.36
1493,23.39,28.3
1494,23.51,28.34
1495,23.63,28.8
1496,23.26,28.37
1497,22.98,27.87
1498,23.12,27.71
1499,22.93,27.46
